Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,202608306,2599.3618182508662,4222257,54.16941609808654,461377,4293591,55.08459514283465,64812,0.8315050922170751,8170,
United States of America,Americas,35501444,10725.43,705033,213,183,611504,184.74,3282,0.99,2
India,South-East Asia,31969954,2316.66,273996,19.85,35499,428309,31.04,3536,0.26,447
Brazil,Americas,20151779,9480.54,233924,110.05,43033,562752,264.75,6382,3,990
Russian Federation,Europe,6469910,4433.44,157725,108.08,22160,165650,113.51,5513,3.78,769
France,Europe,6154798,9463.19,142792,219.55,19692,111102,170.82,265,0.41,26
The United Kingdom,Europe,6069366,8940.53,188695,277.96,27110,130320,191.97,601,0.89,39
Turkey,Europe,5894583,6989.15,146648,173.88,22699,52089,61.76,661,0.78,108
Argentina,Americas,5012754,11091.2,82990,183.62,9803,107302,237.42,1581,3.5,89
Colombia,Americas,4834634,9501.49,49314,96.92,6051,122277,240.31,1554,3.05,190
Spain,Europe,4566571,9647.83,56111,118.55,0,81931,173.1,157,0.33,0
Italy,Europe,4396417,7371.41,41069,68.86,5733,128220,214.98,152,0.25,11
Iran (Islamic Republic of),Eastern Mediterranean,4158729,4951.28,255210,303.85,39619,94015,111.93,3019,3.59,542
Germany,Europe,3791949,4559.46,19840,23.86,1183,91784,110.36,124,0.15,2
Indonesia,South-East Asia,3686740,1347.87,223940,81.87,20709,108571,39.69,11280,4.12,1475
Mexico,Americas,2964244,2299.06,115992,89.96,20018,244248,189.44,3342,2.59,515
Poland,Europe,2884162,7598.27,1042,2.75,64,75285,198.34,24,0.06,0
South Africa,Africa,2533466,4271.66,77282,130.3,9978,74813,126.14,2622,4.42,190
Ukraine,Europe,2259451,5166.38,5917,13.53,300,53100,121.42,145,0.33,5
Peru,Americas,2124128,6442.25,12735,38.62,1571,196873,597.09,520,1.58,55
Netherlands,Europe,1885805,10833.24,18164,104.35,2347,17869,102.65,40,0.23,2
Iraq,Eastern Mediterranean,1712709,4258.09,76716,190.73,8346,19203,47.74,469,1.17,57
Czechia,Europe,1675010,15663.17,1190,11.13,104,30363,283.93,3,0.03,0
Philippines,Western Pacific,1658916,1513.87,61321,55.96,9589,29122,26.58,1106,1.01,287
Chile,Americas,1623363,8492.08,6421,33.59,854,36016,188.41,488,2.55,65
Canada,Americas,1438219,3810.64,7051,18.68,518,26663,70.65,65,0.17,9
Bangladesh,South-East Asia,1365158,828.93,84841,51.52,11463,22897,13.9,1735,1.05,245
Malaysia,Western Pacific,1262540,3900.82,132118,408.2,18688,10749,33.21,1565,4.84,360
Belgium,Europe,1136726,9865.32,7034,61.05,0,25268,219.29,18,0.16,0
Sweden,Europe,1104538,10695.02,3777,36.57,0,14657,141.92,0,0,0
Romania,Europe,1085100,5613.89,1622,8.39,181,34319,177.55,27,0.14,3
Pakistan,Eastern Mediterranean,1067580,483.3,32743,14.82,4455,23865,10.8,443,0.2,68
Japan,Western Pacific,1031296,815.41,95410,75.44,14515,15280,12.08,83,0.07,7
Portugal,Europe,986967,9586.01,16030,155.69,1982,17467,169.65,98,0.95,10
Israel,Europe,902148,10422.78,21798,251.84,961,6542,75.58,47,0.54,0
Hungary,Europe,810011,8291.2,365,3.74,156,30037,307.46,10,0.1,4
Jordan,Eastern Mediterranean,777164,7616.91,5411,53.03,986,10127,99.25,79,0.77,11
Thailand,South-East Asia,776108,1111.9,142824,204.62,19603,6353,9.1,1185,1.7,149
Serbia,Europe,725702,10476.87,3481,50.25,457,7139,103.06,21,0.3,4
Switzerland,Europe,720766,8328.11,4015,46.39,0,10353,119.62,2,0.02,0
Nepal,South-East Asia,717486,2462.47,17837,61.22,2609,10115,34.72,217,0.74,22
Morocco,Eastern Mediterranean,696282,1886.4,66565,180.34,8990,10335,28,502,1.36,80
United Arab Emirates,Eastern Mediterranean,692964,7006.43,10587,107.04,1410,1975,19.97,24,0.24,4
Kazakhstan,Europe,689402,3671.58,32668,173.98,0,9909,52.77,0,0,0
Austria,Europe,658748,7400.78,3603,40.48,587,10548,118.5,12,0.13,0
Tunisia,Eastern Mediterranean,610660,5166.93,15128,128,2546,20931,177.1,864,7.31,122
Lebanon,Eastern Mediterranean,571650,8375.28,9123,133.66,1552,7943,116.37,34,0.5,5
Saudi Arabia,Eastern Mediterranean,533516,1532.48,6702,19.25,731,8334,23.94,85,0.24,14
Greece,Europe,514192,4797.21,18097,168.84,1850,13075,121.98,95,0.89,17
Ecuador,Americas,491831,2787.67,4459,25.27,0,31788,180.17,157,0.89,0
Bolivia (Plurinational State of),Americas,477696,4092.31,4190,35.89,434,17971,153.95,150,1.29,12
Cuba,Americas,458219,4045.51,63876,563.95,9427,3438,30.35,593,5.24,83
Paraguay,Americas,454865,6377.32,2477,34.73,323,15268,214.06,287,4.02,30
Belarus,Europe,453932,4803.86,6934,73.38,979,3532,37.38,68,0.72,9
Georgia,Europe,450149,11284.26,26306,659.43,2236,6128,153.62,252,6.32,44
Panama,Americas,441316,10228.04,5661,131.2,822,6894,159.78,71,1.65,9
Bulgaria,Europe,428049,6157.67,2901,41.73,176,18255,262.61,40,0.58,3
Costa Rica,Americas,416677,8179.57,8477,166.41,0,5124,100.59,82,1.61,0
Kuwait,Eastern Mediterranean,403349,9444.85,4811,112.65,555,2369,55.47,41,0.96,3
Slovakia,Europe,393056,7201.63,346,6.34,16,12541,229.78,1,0.02,0
Guatemala,Americas,390514,2179.75,20888,116.59,1004,10771,60.12,358,2,57
Uruguay,Americas,382360,11007.19,843,24.27,65,5986,172.32,22,0.63,0
Croatia,Europe,365089,8996.41,1302,32.08,44,8273,203.86,7,0.17,1
Azerbaijan,Europe,351825,3469.96,7305,72.05,1220,5063,49.94,36,0.36,7
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,346872,6799.53,1059,20.76,160,3881,76.08,6,0.12,2
Dominican Republic,Americas,344495,3175.68,2228,20.54,344,3974,36.63,11,0.1,0
Myanmar,South-East Asia,333127,612.26,26773,49.21,3611,12014,22.08,1953,3.59,238
Sri Lanka,South-East Asia,329994,1541.07,16225,75.77,0,5054,23.6,540,2.52,0
Denmark,Europe,323786,5560.69,6086,104.52,821,2552,43.83,3,0.05,0
Ireland,Europe,312465,6294.06,10391,209.31,1837,5044,101.6,9,0.18,0
Venezuela (Bolivarian Republic of),Americas,312115,1097.61,6349,22.33,1155,3694,12.99,103,0.36,12
Honduras,Americas,305936,3088.83,8825,89.1,0,8120,81.98,286,2.89,0
Oman,Eastern Mediterranean,298706,5849.38,1871,36.64,202,3936,77.08,86,1.68,7
Lithuania,Europe,286408,10250.49,3162,113.17,305,4430,158.55,14,0.5,3
Egypt,Eastern Mediterranean,284706,278.21,395,0.39,65,16575,16.2,47,0.05,9
Ethiopia,Africa,284091,247.11,3526,3.07,424,4426,3.85,36,0.03,5
Bahrain,Eastern Mediterranean,270060,15871.18,757,44.49,111,1384,81.34,0,0,0
Libya,Eastern Mediterranean,267846,3898.04,14410,209.71,3019,3719,54.12,171,2.49,30
Republic of Moldova,Europe,260630,6460.89,1081,26.8,75,6282,155.73,27,0.67,3
Slovenia,Europe,260109,12410.6,833,39.75,68,4762,227.21,0,0,0
Armenia,Europe,232297,7839.31,1821,61.45,140,4653,157.02,32,1.08,3
Qatar,Eastern Mediterranean,227689,7902.98,1299,45.09,217,601,20.86,0,0,0
Viet Nam,Western Pacific,215560,221.45,58053,59.64,9904,3397,3.49,2091,2.15,147
Republic of Korea,Western Pacific,212448,414.38,11447,22.33,1492,2125,4.14,26,0.05,4
Kenya,Africa,211828,393.94,8148,15.15,800,4149,7.72,203,0.38,32
Bosnia and Herzegovina,Europe,206272,6287.22,522,15.91,56,9691,295.38,2,0.06,0
Zambia,Africa,200049,1088.17,3756,20.43,387,3484,18.95,78,0.42,10
Algeria,Africa,181376,413.62,8812,20.1,2160,4550,10.38,259,0.59,63
Nigeria,Africa,178086,86.39,3771,1.83,471,2187,1.06,38,0.02,2
Mongolia,Western Pacific,174603,5326.04,8393,256.02,1071,857,26.14,34,1.04,5
Kyrgyzstan,Europe,169500,2598.02,4757,72.91,483,2407,36.89,63,0.97,8
North Macedonia,Europe,158025,7585.03,1573,75.5,398,5507,264.33,14,0.67,4
Puerto Rico,Americas,151732,5303.73,4746,165.89,892,2609,91.2,29,1.01,5
Afghanistan,Eastern Mediterranean,150778,387.32,2793,7.17,320,6936,17.82,162,0.42,28
Norway,Europe,139779,2604.13,1829,34.07,0,804,14.98,5,0.09,0
Latvia,Europe,139421,7308.43,522,27.36,74,2559,134.14,3,0.16,0
Uzbekistan,Europe,137491,410.8,6412,19.16,856,934,2.79,48,0.14,6
Estonia,Europe,135223,10174.98,1452,109.26,144,1277,96.09,5,0.38,0
Albania,Europe,133912,4653.28,791,27.49,182,2459,85.45,2,0.07,0
Mozambique,Africa,132452,423.77,8911,28.51,653,1613,5.16,151,0.48,13
Botswana,Africa,122574,5212.31,15884,675.45,0,1704,72.46,135,5.74,0
China,Western Pacific,121684,8.27,847,0.06,134,5657,0.38,20,0,3
Namibia,Africa,121043,4763.78,1758,69.19,229,3191,125.59,134,5.27,9
Zimbabwe,Africa,116322,782.63,6776,45.59,432,3900,26.24,317,2.13,74
Finland,Europe,112656,2038.91,4382,79.31,216,991,17.94,2,0.04,0
Kosovo[1],Europe,109888,6119.62,1466,81.64,269,2261,125.91,5,0.28,0
Ghana,Africa,108226,348.3,5207,16.76,409,874,2.81,51,0.16,3
Cyprus,Europe,105982,11934.84,3759,423.31,389,441,49.66,19,2.14,3
Montenegro,Europe,103722,16514.61,1631,259.69,280,1635,260.32,5,0.8,0
Uganda,Africa,95875,209.6,1680,3.67,401,2808,6.14,112,0.24,23
El Salvador,Americas,88371,1362.45,1751,27,0,2717,41.89,76,1.17,14
Cameroon,Africa,82064,309.14,0,0,0,1334,5.03,0,0,0
Cambodia,Western Pacific,81891,489.81,3977,23.79,556,1562,9.34,142,0.85,25
Maldives,South-East Asia,78356,14495.77,723,133.75,0,222,41.07,1,0.18,0
Rwanda,Africa,76091,587.47,4745,36.63,448,890,6.87,69,0.53,9
Luxembourg,Europe,74262,11860.89,277,44.24,0,824,131.61,2,0.32,0
Senegal,Africa,67579,403.6,4577,27.34,681,1482,8.85,115,0.69,15
Singapore,Western Pacific,65754,1123.93,652,11.14,68,42,0.72,5,0.09,0
Malawi,Africa,55920,292.32,3289,17.19,221,1828,9.56,167,0.87,23
Jamaica,Americas,54859,1852.61,1622,54.78,379,1222,41.27,26,0.88,3
Democratic Republic of the Congo,Africa,51889,57.94,1972,2.2,366,1048,1.17,10,0.01,0
Côte d’Ivoire,Africa,51380,194.78,1102,4.18,182,341,1.29,11,0.04,0
Angola,Africa,43662,132.85,847,2.58,70,1049,3.19,33,0.1,5
Madagascar,Africa,42776,154.48,41,0.15,23,948,3.42,1,0,1
Réunion,Africa,40245,4495.08,3014,336.64,0,288,32.17,13,1.45,0
Trinidad and Tobago,Americas,40104,2865.62,1293,92.39,269,1129,80.67,52,3.72,6
Sudan,Eastern Mediterranean,37138,84.69,0,0,0,2776,6.33,0,0,0
Fiji,Western Pacific,36979,4125.07,6566,732.45,657,299,33.35,58,6.47,3
Australia,Western Pacific,36330,142.47,1948,7.64,292,936,3.67,12,0.05,1
Malta,Europe,34902,6782.83,463,89.98,56,428,83.18,5,0.97,2
Cabo Verde,Africa,34052,6124.6,230,41.37,42,298,53.6,0,0,0
Eswatini,Africa,31060,2677.21,4840,417.18,273,861,74.21,63,5.43,17
French Guiana,Americas,30875,10337.08,711,238.05,0,193,64.62,6,2.01,0
Guadeloupe,Americas,28490,7120.29,7365,1840.68,0,291,72.73,8,2,0
Mauritania,Africa,28197,606.43,2224,47.83,240,605,13.01,38,0.82,6
Guinea,Africa,26969,205.36,1055,8.03,122,260,1.98,28,0.21,3
Martinique,Americas,26747,7127.5,4308,1147.99,730,167,44.5,38,10.13,1
Syrian Arab Republic,Eastern Mediterranean,26097,149.12,114,0.65,16,1920,10.97,4,0.02,1
Suriname,Americas,25917,4417.93,566,96.48,64,662,112.85,13,2.22,3
Gabon,Africa,25462,1143.98,78,3.5,0,165,7.41,1,0.04,0
Guyana,Americas,22932,2915.51,409,52,89,556,70.69,15,1.91,2
French Polynesia,Western Pacific,22459,7995.14,2411,858.29,0,157,55.89,8,2.85,0
Haiti,Americas,20389,178.81,82,0.72,26,569,4.99,9,0.08,3
Mayotte,Africa,19546,7164.56,52,19.06,28,175,64.15,1,0.37,1
Seychelles,Africa,18617,18929.91,206,209.46,0,91,92.53,5,5.08,0
Papua New Guinea,Western Pacific,17806,199.02,31,0.35,2,192,2.15,0,0,0
Togo,Africa,16874,203.82,1004,12.13,146,159,1.92,6,0.07,2
Tajikistan,Europe,16051,168.29,432,4.53,0,123,1.29,1,0.01,0
Somalia,Eastern Mediterranean,15875,99.89,419,2.64,77,850,5.35,37,0.23,3
Bahamas,Americas,15191,3863,271,68.91,0,295,75.02,4,1.02,0
Andorra,Europe,14836,19201.45,158,204.49,0,128,165.66,0,0,0
Mali,Africa,14643,72.31,55,0.27,5,534,2.64,1,0,0
Belize,Americas,14438,3631.03,275,69.16,0,339,85.26,2,0.5,0
Curaçao,Americas,13907,8475.07,414,252.3,0,130,79.22,4,2.44,0
Burkina Faso,Africa,13625,65.18,37,0.18,15,169,0.81,0,0,0
Lesotho,Africa,13603,634.99,0,0,0,377,17.6,0,0,0
Congo,Africa,13293,240.9,77,1.4,36,179,3.24,1,0.02,1
Aruba,Americas,12128,11359.42,544,509.53,0,111,103.97,2,1.87,0
Djibouti,Eastern Mediterranean,11662,1180.36,10,1.01,3,156,15.79,0,0,0
Timor-Leste,South-East Asia,11579,878.23,597,45.28,50,28,2.12,2,0.15,1
Central African Republic,Africa,11174,231.36,4023,83.3,0,98,2.03,0,0,0
South Sudan,Africa,11121,99.35,58,0.52,2,120,1.07,1,0.01,0
Equatorial Guinea,Africa,8951,638,71,5.06,23,123,8.77,0,0,0
Iceland,Europe,8900,2444.16,778,213.66,107,30,8.24,0,0,0
Burundi,Africa,8800,74.01,1295,10.89,138,10,0.08,1,0.01,0
Gambia,Africa,8763,362.61,801,33.14,160,245,10.14,32,1.32,3
Benin,Africa,8608,71,214,1.77,0,110,0.91,2,0.02,0
Jersey,Europe,8599,7977.1,339,314.48,0,73,67.72,4,3.71,0
Lao People's Democratic Republic,Western Pacific,8392,115.35,1826,25.1,260,8,0.11,1,0.01,0
Guam,Western Pacific,8389,4970.52,118,69.92,0,143,84.73,0,0,0
Nicaragua,Americas,7890,119.1,298,4.5,0,196,2.96,1,0.02,0
Yemen,Eastern Mediterranean,7139,23.94,69,0.23,8,1386,4.65,9,0.03,2
Eritrea,Africa,6576,185.43,29,0.82,0,35,0.99,0,0,0
Sierra Leone,Africa,6315,79.17,28,0.35,2,121,1.52,1,0.01,1
Saint Lucia,Americas,5779,3147.14,169,92.03,66,90,49.01,1,0.54,0
Niger,Africa,5682,23.47,66,0.27,0,196,0.81,1,0,0
Liberia,Africa,5461,107.97,57,1.13,0,220,4.35,72,1.42,0
Isle of Man,Europe,5427,6382.3,667,784.41,90,29,34.1,0,0,0
San Marino,Europe,5194,15304.38,47,138.49,11,90,265.19,0,0,0
Gibraltar,Europe,5127,15217.71,162,480.84,26,95,281.97,1,2.97,0
Mauritius,Africa,5120,402.59,727,57.16,110,21,1.65,1,0.08,1
Chad,Africa,4978,30.31,5,0.03,1,174,1.06,0,0,0
United States Virgin Islands,Americas,4960,4749.82,331,316.97,53,40,38.31,3,2.87,0
Guinea-Bissau,Africa,4788,243.29,290,14.74,24,79,4.01,3,0.15,0
Barbados,Americas,4464,1553.37,74,25.75,9,48,16.7,0,0,0
Comoros,Africa,4031,463.55,3,0.34,0,147,16.9,0,0,0
Liechtenstein,Europe,3202,8263.87,10,25.81,0,58,149.69,0,0,0
Saint Martin,Americas,3028,7832.59,231,597.53,0,33,85.36,3,7.76,0
Monaco,Europe,2986,7608.81,95,242.08,1,33,84.09,0,0,0
Sint Maarten,Americas,2891,6741.76,131,305.49,0,34,79.29,0,0,0
Bermuda,Americas,2614,4197.65,46,73.87,0,33,52.99,0,0,0
Bhutan,South-East Asia,2546,329.96,22,2.85,2,2,0.26,0,0,0
New Zealand,Western Pacific,2534,52.55,13,0.27,4,26,0.54,0,0,0
Turks and Caicos Islands,Americas,2523,6516.35,37,95.56,9,18,46.49,0,0,0
British Virgin Islands,Americas,2500,8268.02,0,0,0,31,102.52,0,0,0
Sao Tome and Principe,Africa,2470,1127.04,16,7.3,0,37,16.88,0,0,0
Saint Vincent and the Grenadines,Americas,2299,2072.29,2,1.8,1,12,10.82,0,0,0
Bonaire,Americas,1687,8065.98,9,43.03,0,17,81.28,0,0,0
Saint Barthélemy,Americas,1399,14152.76,64,647.45,0,1,10.12,0,0,0
Antigua and Barbuda,Americas,1338,1366.3,35,35.74,10,43,43.91,0,0,0
United Republic of Tanzania,Africa,1017,1.7,0,0,0,21,0.04,0,0,0
Guernsey,Europe,1000,1551.16,46,71.35,4,18,27.92,1,1.55,0
Faroe Islands,Europe,987,2019.85,2,4.09,0,2,4.09,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,646,982.96,3,4.56,0,2,3.04,0,0,0
Saint Kitts and Nevis,Americas,614,1154.31,20,37.6,3,3,5.64,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Dominica,Americas,367,509.79,149,206.97,149,0,0,0,0,0
Brunei Darussalam,Western Pacific,364,83.2,26,5.94,17,3,0.69,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,206,357.91,10,17.37,0,2,3.47,0,0,0
Grenada,Americas,178,158.19,9,8,6,1,0.89,0,0,0
Greenland,Europe,175,308.25,53,93.36,7,0,0,0,0,0
New Caledonia,Western Pacific,134,46.94,0,0,0,0,0,0,0,0
Anguilla,Americas,114,759.9,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,64,1837.5,3,86.13,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,30,517.69,2,34.51,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Montserrat,Americas,22,440.09,1,20,0,1,20,0,0,0
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,8,413.86,1,51.73,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
